kepid,kepoi_name,koi_disposition,koi_prad,koi_teq,koi_insol,koi_period,koi_duration,koi_depth,koi_steff,koi_slogg,koi_srad,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
10797460,K00752.01,CONFIRMED,2.26,793.0,93.59,9.48803557,2.9575,615.8,5455.0,4.467,0.927,291.93423,48.141651,0,0,0,0
10797460,K00752.02,CONFIRMED,2.83,443.0,9.11,54.4183827,4.507,874.8,5455.0,4.467,0.927,291.93423,48.141651,0,0,0,0
10811496,K00753.01,CANDIDATE,14.6,638.0,39.3,19.89913995,1.7822,10829.0,5853.0,4.544,0.868,297.00482,48.134129,0,0,0,0
10848459,K00754.01,FALSE POSITIVE,33.46,1395.0,891.96,1.736952453,2.40641,8079.2,5805.0,4.564,0.791,285.53461,48.28521,0,1,0,0
10854555,K00755.01,CONFIRMED,2.75,1406.0,926.16,2.525591777,1.6545,603.3,6031.0,4.438,1.046,288.75488,48.2262,0,0,0,0
10872983,K00756.01,CONFIRMED,3.9,835.0,114.81,11.09432054,4.5945,1517.5,6046.0,4.486,0.972,296.28613,48.22467,0,0,0,0
10872983,K00756.02,CONFIRMED,2.77,1160.0,427.65,4.13443512,3.1402,686.0,6046.0,4.486,0.972,296.28613,48.22467,0,0,0,0
10872983,K00756.03,CONFIRMED,1.59,1360.0,807.74,2.56658897,2.429,226.5,6046.0,4.486,0.972,296.28613,48.22467,0,0,0,0
6721123,K00114.01,FALSE POSITIVE,39.21,1342.0,767.22,7.36178958,5.022,233.7,6227.0,3.986,1.958,298.86435,42.151569,0,1,1,0
10910878,K00757.01,CONFIRMED,5.76,600.0,30.75,16.06864674,3.5347,4914.3,5031.0,4.485,0.848,286.99948,48.37579,0,0,0,0
11446443,K00001.01,CONFIRMED,13.04,1339.0,761.46,2.470613377,1.74319,14231.0,5820.0,4.457,0.964,286.80847,49.316399,0,0,0,0
10666592,K00002.01,CONFIRMED,16.1,2048.0,4148.92,2.204735417,3.88864,6674.7,6440.0,4.019,1.952,292.24728,47.969521,0,1,0,0
6922244,K00010.01,CONFIRMED,14.59,1521.0,1264.67,3.522498429,3.19843,9145.7,6225.0,4.169,1.451,281.28812,42.45108,0,0,0,0
10984090,K00112.02,CONFIRMED,1.16,1206.0,500.46,3.709214104,2.6302,131.1,5833.0,4.407,1.022,295.64871,48.49556,0,0,0,0
10419211,K00742.01,FALSE POSITIVE,150.51,753.0,75.88,11.521446064,3.6399,17984.0,5795.0,4.554,0.848,297.07993,47.597401,0,1,0,0
10464078,K00743.01,FALSE POSITIVE,7.18,523.0,17.69,19.40393776,12.2155,8918.7,5043.0,4.591,0.68,289.25821,47.635319,0,1,0,0
10480982,K00744.01,FALSE POSITIVE,49.29,698.0,55.97,19.221388942,4.79843,74284.0,6117.0,4.496,0.947,295.81454,47.69035,0,1,0,0
10485250,K00745.01,FALSE POSITIVE,7.94,595.0,29.61,16.46983774,9.4378,10479.0,5152.0,4.517,0.786,297.15442,47.668701,0,1,0,0
10526549,K00746.01,CONFIRMED,2.47,649.0,41.85,9.27358173,3.2875,1288.3,4856.0,4.583,0.696,288.13824,47.724449,0,0,0,0
10583066,K00747.01,CONFIRMED,2.85,678.0,50.04,6.02930329,1.5821,1912.7,4537.0,4.648,0.672,283.71088,47.86327,0,0,0,0
10583180,K00748.01,FALSE POSITIVE,1.58,1066.0,305.34,2.696370652,3.6129,397.9,4989.0,4.504,0.819,283.76547,47.804298,0,1,1,1
10601284,K00749.01,CONFIRMED,2.55,919.0,168.99,5.349553819,3.0278,831.0,5185.0,4.44,0.91,292.37613,47.880989,0,0,0,0
10601284,K00749.02,CONFIRMED,1.7,1018.0,253.15,3.94105221,2.5984,363.3,5185.0,4.44,0.91,292.37613,47.880989,0,0,0,0
10601284,K00749.03,CONFIRMED,1.3,800.0,97.03,8.10904807,3.596,217.4,5185.0,4.44,0.91,292.37613,47.880989,0,0,0,0
2306756,K00113.01,FALSE POSITIVE,41.5,297.0,1.84,386.6030528,6.8057,24927.0,5543.0,4.081,1.58,292.27374,37.671558,0,1,0,0
10662202,K00750.01,CONFIRMED,2.95,530.0,18.64,21.67699193,3.4555,857.2,4954.0,4.5,0.828,290.46512,47.92918,0,0,0,0
10682541,K00751.01,CONFIRMED,2.78,917.0,166.95,4.99677968,2.1717,934.7,5339.0,4.552,0.847,297.80826,47.946671,0,0,0,0
11460018,K00769.01,CONFIRMED,2.3,1012.0,247.87,4.280963604,2.875,750.8,5644.0,4.564,0.831,294.26581,49.314091,0,0,0,0
11463211,K00770.01,FALSE POSITIVE,4.53,1452.0,1054.12,1.50635409,1.5155,2211.7,5714.0,4.563,0.831,295.66522,49.351009,0,0,1,0
11465813,K00771.01,FALSE POSITIVE,14.14,196.0,0.35,670.645531,53.412,18091.0,5520.0,4.466,0.983,296.69861,49.316479,0,1,1,0
11493732,K00772.01,FALSE POSITIVE,39.87,505.0,15.43,61.2563628,7.633,5123.3,6144.0,4.402,1.091,283.72592,49.479519,0,1,0,0
11507101,K00773.01,CONFIRMED,2.82,529.0,18.53,38.3775486,5.588,724.2,5481.0,4.369,1.036,291.72202,49.480869,0,0,0,0
10910878,K00757.02,CONFIRMED,3.86,439.0,8.76,41.19725502,4.6297,2213.9,5031.0,4.485,0.848,286.99948,48.37579,0,0,0,0
10910878,K00757.03,CONFIRMED,2.65,823.0,108.3,6.252962249,2.5819,1036.9,5031.0,4.485,0.848,286.99948,48.37579,0,0,0,0
10987985,K00758.01,CONFIRMED,3.1,593.0,29.31,16.01308419,3.2554,1121.9,5015.0,4.499,0.826,297.02563,48.478588,0,0,0,0
11018648,K00759.01,CONFIRMED,3.36,506.0,15.55,32.62876672,4.7971,1804.8,5586.0,4.56,0.798,285.71854,48.505859,0,0,0,0
11018648,K00759.02,CONFIRMED,2.12,359.0,3.92,91.7732862,6.473,652.0,5586.0,4.56,0.798,285.71854,48.505859,0,0,0,0
11138155,K00760.01,CONFIRMED,12.21,1103.0,349.4,4.959319244,2.22739,9802.0,5712.0,4.359,1.082,292.16705,48.727589,0,0,0,0
11152159,K00761.01,FALSE POSITIVE,6.54,1222.0,527.81,2.701287801,3.3827,860.4,5550.0,4.468,0.91,297.92365,48.777321,0,1,1,0
11153539,K00762.01,CONFIRMED,2.1,1133.0,389.62,4.49876511,3.7362,460.0,6075.0,4.486,0.969,298.45685,48.791592,0,0,0,0
11242721,K00763.01,FALSE POSITIVE,12.42,730.0,67.03,19.651209505,5.2514,11766.0,6074.0,4.391,1.063,291.0939,48.933842,0,1,0,0
9579641,K00115.01,CONFIRMED,2.94,1093.0,337.68,5.412203927,2.9472,601.6,5779.0,4.339,1.087,287.88733,46.276241,0,0,0,0
11304958,K00764.01,CONFIRMED,5.5,516.0,16.72,41.43958662,10.5989,2793.1,5468.0,4.367,1.046,295.55505,49.017342,0,0,0,0
11391957,K00765.01,CONFIRMED,2.52,790.0,91.9,8.35389523,2.2514,1041.6,5592.0,4.582,0.787,285.49924,49.277351,0,0,0,0
11403044,K00766.01,CONFIRMED,4.43,1243.0,565.35,4.125543472,3.1744,1487.3,6174.0,4.417,1.103,291.93616,49.253979,0,0,0,0
11414511,K00767.01,CONFIRMED,12.21,1219.0,521.13,2.816504904,2.50587,16814.0,5532.0,4.452,0.955,297.01547,49.225288,0,0,0,0
11442465,K00768.01,FALSE POSITIVE,7.34,430.0,8.11,33.93373447,14.561,8503.7,5040.0,4.628,0.705,284.17233,49.360722,0,1,1,0
12110942,K00786.01,CONFIRMED,1.89,1147.0,408.99,3.689920099,2.6557,426.7,5880.0,4.518,0.917,291.62241,50.61824,0,0,0,0
12366084,K00787.01,CONFIRMED,3.25,1104.0,351.23,4.431238488,3.15,1010.9,5714.0,4.428,1.015,295.81616,51.121738,0,0,0,0
12366084,K00787.02,CONFIRMED,3.95,806.0,99.68,11.37936986,2.6255,1023.5,5714.0,4.428,1.015,295.81616,51.121738,0,0,0,0
12404086,K00788.01,CONFIRMED,3.07,489.0,13.49,26.39432897,3.573,1510.9,5129.0,4.595,0.763,289.39972,51.25032,0,0,0,0
8395660,K00116.01,CONFIRMED,2.64,785.0,89.61,13.57078281,3.3539,511.7,5854.0,4.406,1.012,300.86398,44.337551,0,0,0,0
9579641,K00115.02,CONFIRMED,1.79,997.0,233.31,7.12594387,3.0014,192.4,5779.0,4.339,1.087,287.88733,46.276241,0,0,0,0
11656840,K00774.01,FALSE POSITIVE,15.03,967.0,206.78,7.442652004,2.3078,24446.0,6108.0,4.469,0.956,288.98682,49.733742,0,1,0,0
11754553,K00775.01,CONFIRMED,2.0,433.0,8.35,16.38489988,3.0249,1127.1,4126.0,4.661,0.615,286.73804,49.97575,0,0,0,0
11754553,K00775.02,CONFIRMED,2.16,553.0,22.18,7.8774163,2.0805,1306.1,4126.0,4.661,0.615,286.73804,49.97575,0,0,0,0
11754553,K00775.03,CONFIRMED,1.99,332.0,2.88,36.4454001,4.007,1122.3,4126.0,4.661,0.615,286.73804,49.97575,0,0,0,0
